commodity_id,commodity,country_id,country,local_region_id,local_region,market,currency_id,cur_name,unit,month,conflict,precipitation,inflation,price
55,Bread,1,afghanistan,282,Hirat,Hirat,87,AFN,KG,9,1,0.0,4.383892059326172,29.4
55,Bread,1,afghanistan,282,Hirat,Hirat,87,AFN,KG,10,1,0.0,4.383892059326172,29.4
55,Bread,1,afghanistan,282,Hirat,Hirat,87,AFN,KG,11,1,0.0,4.383892059326172,29.4
55,Bread,1,afghanistan,282,Hirat,Hirat,87,AFN,KG,12,1,0.0156,4.383892059326172,29.4
55,Bread,1,afghanistan,282,Hirat,Hirat,87,AFN,KG,1,1,0.00546774193548387,4.975951671600342,29.4
55,Bread,1,afghanistan,282,Hirat,Hirat,87,AFN,KG,2,1,0.005937931034482755,4.975951671600342,29.4
55,Bread,1,afghanistan,282,Hirat,Hirat,87,AFN,KG,3,1,0.00893225806451613,4.975951671600342,29.4
55,Bread,1,afghanistan,282,Hirat,Hirat,87,AFN,KG,4,1,0.004255000000000001,4.975951671600342,29.0
55,Bread,1,afghanistan,282,Hirat,Hirat,87,AFN,KG,5,1,0.0,4.975951671600342,29.4
55,Bread,1,afghanistan,282,Hirat,Hirat,87,AFN,KG,6,1,0.0,4.975951671600342,29.4
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,1,1,0.00546774193548387,4.6739959716796875,38.475
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,2,1,0.005937931034482755,4.6739959716796875,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,3,1,0.00893225806451613,4.6739959716796875,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,4,1,0.004255000000000001,4.6739959716796875,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,5,1,0.0,4.6739959716796875,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,6,1,0.0,4.6739959716796875,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,7,1,0.0,4.6739959716796875,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,8,1,0.0,4.6739959716796875,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,9,1,0.0,4.6739959716796875,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,10,1,0.0,4.6739959716796875,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,11,1,0.0,4.6739959716796875,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,12,1,0.0156,4.6739959716796875,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,1,1,0.00546774193548387,-0.661709189414978,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,2,1,0.005937931034482755,-0.661709189414978,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,3,1,0.00893225806451613,-0.661709189414978,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,6,1,0.0,-0.661709189414978,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,7,1,0.0,-0.661709189414978,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,8,1,0.0,-0.661709189414978,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,9,1,0.0,-0.661709189414978,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,10,1,0.0,-0.661709189414978,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,11,1,0.0,-0.661709189414978,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,12,1,0.0156,-0.661709189414978,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,1,1,0.00546774193548387,4.383892059326172,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,2,1,0.005937931034482755,4.383892059326172,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,3,1,0.00893225806451613,4.383892059326172,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,4,1,0.004255000000000001,4.383892059326172,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,5,1,0.0,4.383892059326172,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,6,1,0.0,4.383892059326172,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,7,1,0.0,4.383892059326172,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,8,1,0.0,4.383892059326172,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,9,1,0.0,4.383892059326172,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,10,1,0.0,4.383892059326172,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,11,1,0.0,4.383892059326172,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,12,1,0.0156,4.383892059326172,38.5
55,Bread,1,afghanistan,284,Kabul,Kabul,87,AFN,KG,1,1,0.00546774193548387,4.975951671600342,38.5
